ID,LocalTime,measuredValue.basicData.vehicleFlow.vehicleFlowRate
10038001,2025-09-03 02:05:00+02:00,5.0
10038002,2025-09-03 02:05:00+02:00,3.0
10038003,2025-09-03 02:05:00+02:00,0.0
10038004,2025-09-03 02:05:00+02:00,8.0
10038005,2025-09-03 02:05:00+02:00,0.0
10038001,2025-09-03 02:20:00+02:00,5.0
10038002,2025-09-03 02:20:00+02:00,5.0
10038003,2025-09-03 02:20:00+02:00,1.0
10038004,2025-09-03 02:20:00+02:00,10.0
10038005,2025-09-03 02:20:00+02:00,0.0
10038001,2025-09-03 02:35:00+02:00,6.0
10038002,2025-09-03 02:35:00+02:00,9.0
10038003,2025-09-03 02:35:00+02:00,0.0
10038004,2025-09-03 02:35:00+02:00,11.0
10038005,2025-09-03 02:35:00+02:00,0.0
10038001,2025-09-03 02:50:00+02:00,5.0
10038002,2025-09-03 02:50:00+02:00,7.0
10038003,2025-09-03 02:50:00+02:00,1.0
10038004,2025-09-03 02:50:00+02:00,8.0
10038005,2025-09-03 02:50:00+02:00,0.0
10038001,2025-09-03 03:05:00+02:00,9.0
10038002,2025-09-03 03:05:00+02:00,5.0
10038003,2025-09-03 03:05:00+02:00,1.0
10038004,2025-09-03 03:05:00+02:00,9.0
10038005,2025-09-03 03:05:00+02:00,0.0
10038001,2025-09-03 03:20:00+02:00,6.0
10038002,2025-09-03 03:20:00+02:00,9.0
10038003,2025-09-03 03:20:00+02:00,0.0
10038004,2025-09-03 03:20:00+02:00,6.0
10038005,2025-09-03 03:20:00+02:00,0.0
10038001,2025-09-03 03:35:00+02:00,8.0
10038002,2025-09-03 03:35:00+02:00,9.0
10038003,2025-09-03 03:35:00+02:00,1.0
10038004,2025-09-03 03:35:00+02:00,8.0
10038005,2025-09-03 03:35:00+02:00,0.0
10038001,2025-09-03 03:50:00+02:00,7.0
10038002,2025-09-03 03:50:00+02:00,6.0
10038003,2025-09-03 03:50:00+02:00,1.0
10038004,2025-09-03 03:50:00+02:00,12.0
10038005,2025-09-03 03:50:00+02:00,0.0
10038001,2025-09-03 04:05:00+02:00,6.0
10038002,2025-09-03 04:05:00+02:00,4.0
10038003,2025-09-03 04:05:00+02:00,0.0
10038004,2025-09-03 04:05:00+02:00,7.0
10038005,2025-09-03 04:05:00+02:00,0.0
10038001,2025-09-03 04:20:00+02:00,7.0
10038002,2025-09-03 04:20:00+02:00,2.0
10038003,2025-09-03 04:20:00+02:00,0.0
10038004,2025-09-03 04:20:00+02:00,5.0
10038005,2025-09-03 04:20:00+02:00,0.0
10038001,2025-09-03 04:35:00+02:00,1.0
10038002,2025-09-03 04:35:00+02:00,8.0
10038003,2025-09-03 04:35:00+02:00,0.0
10038004,2025-09-03 04:35:00+02:00,3.0
10038005,2025-09-03 04:35:00+02:00,0.0
10038001,2025-09-03 04:50:00+02:00,23.0
10038002,2025-09-03 04:50:00+02:00,10.0
10038003,2025-09-03 04:50:00+02:00,0.0
10038004,2025-09-03 04:50:00+02:00,10.0
10038005,2025-09-03 04:50:00+02:00,0.0
10038001,2025-09-03 05:05:00+02:00,8.0
10038002,2025-09-03 05:05:00+02:00,5.0
10038003,2025-09-03 05:05:00+02:00,0.0
10038004,2025-09-03 05:05:00+02:00,10.0
10038005,2025-09-03 05:05:00+02:00,0.0
10038001,2025-09-03 05:20:00+02:00,12.0
10038002,2025-09-03 05:20:00+02:00,8.0
10038003,2025-09-03 05:20:00+02:00,0.0
10038004,2025-09-03 05:20:00+02:00,9.0
10038005,2025-09-03 05:20:00+02:00,0.0
10038001,2025-09-03 05:35:00+02:00,14.0
10038002,2025-09-03 05:35:00+02:00,14.0
10038003,2025-09-03 05:35:00+02:00,0.0
10038004,2025-09-03 05:35:00+02:00,12.0
10038005,2025-09-03 05:35:00+02:00,0.0
10038001,2025-09-03 05:50:00+02:00,9.0
10038002,2025-09-03 05:50:00+02:00,12.0
10038003,2025-09-03 05:50:00+02:00,1.0
10038004,2025-09-03 05:50:00+02:00,31.0
10038005,2025-09-03 05:50:00+02:00,0.0
10038001,2025-09-03 06:05:00+02:00,9.0
10038002,2025-09-03 06:05:00+02:00,19.0
10038003,2025-09-03 06:05:00+02:00,1.0
10038004,2025-09-03 06:05:00+02:00,30.0
10038005,2025-09-03 06:05:00+02:00,0.0
10038001,2025-09-03 06:20:00+02:00,18.0
10038002,2025-09-03 06:20:00+02:00,16.0
10038003,2025-09-03 06:20:00+02:00,1.0
10038004,2025-09-03 06:20:00+02:00,39.0
10038005,2025-09-03 06:20:00+02:00,0.0
10038001,2025-09-03 06:35:00+02:00,24.0
10038002,2025-09-03 06:35:00+02:00,12.0
10038003,2025-09-03 06:35:00+02:00,3.0
10038004,2025-09-03 06:35:00+02:00,66.0
10038005,2025-09-03 06:35:00+02:00,0.0
10038001,2025-09-03 06:50:00+02:00,24.0
10038002,2025-09-03 06:50:00+02:00,41.0
10038003,2025-09-03 06:50:00+02:00,2.0
10038004,2025-09-03 06:50:00+02:00,51.0
10038005,2025-09-03 06:50:00+02:00,0.0
